French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
trouve,find
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
aimerais,would like to
eau,water
devrait,should
étaient,were
aucun,no
fin,end
vont,will
